Table,Column,Match
,LASTUPDATE,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
,TOTPAYINTEREST,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[efs:has_totpayinterest]-> (fibo:Interest) -[fibo:hasAmount]-> (VALUE)
,LENTEXPENSES,-[efs:hasLoan]-> (fibo:Loan) -[fibo:hasMonetaryAmount]-> (fibo:Fee) -[fibo:hasAmount]-> (VALUE)
,TOTPAYAMOUNT,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasMonetaryAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,USER_UPDATED,-[efs:has_user_updated]-> (fibo:LegalAgent) -[efs:has_user_updated_VALUE]-> (VALUE)
,CURRENCY,-[fibo:hasCurrency]-> (fibo:Currency) -[fibo:hasTextualName]-> (VALUE)
,BASE_INTEREST_RATE,-[fibo:hasInterestRate]-> (fibo:BaseRate) -[fibo:hasRateValue]-> (VALUE)
,LASTPAYDATE,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasIndividualPayment]-> (fibo:IndividualPaymentTransaction) -[fibo:hasTransactionDate]-> (fibo:TransactionDate) -[fibo:hasDateValue]-> (VALUE)
,CASE_TYPE_ID,-[efs:has_case_type_id_VALUE]-> (VALUE)
,LENTAMOUNT,-[efs:hasLoan]-> (fibo:Loan) -[fibo:hasPrincipalAmount]-> (fibo:LoanPrincipal) -[fibo:hasAmount]-> (VALUE)
,LAST_ACTION_DATE,-[efs:has_last_action_date_VALUE]-> (VALUE)
,LASTPAYAMOUNT,-[fibo:hasPaymentHistory]-> (fibo:PaymentHistory) -[fibo:hasIndividualPayment]-> (fibo:IndividualPaymentTransaction) -[fibo:hasPaymentAmount]-> (fibo:MonetaryAmount) -[fibo:hasAmount]-> (VALUE)
,LENTDATE,-[efs:hasLoan]-> (fibo:Loan) -[fibo:hasExecutionDate]-> (fibo:Date) -[fibo:hasDateValue]-> (VALUE)
,LAST_ACTION,-[efs:has_last_action_VALUE]-> (VALUE)
,LENTINTEREST,-[efs:hasLoan]-> (fibo:Loan) -[efs:has_lentinterest]-> (fibo:Interest) -[fibo:hasAmount]-> (VALUE)
,DT_UPDATED,-[fibo:hasExplicitDate]-> (fibo:ExplicitDate) -[fibo:hasDateValue]-> (VALUE)
